[2025-05-29 13:40:36] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108778.02 → SELL on bybit @ 108793.20 | Profit: 0.01%
[2025-05-29 13:40:39] 🚀 [ARBITRAGE] ETH/USDT → BUY on kucoin @ 2720.33 → SELL on bitget @ 2721.41 | Profit: 0.04%
[2025-05-29 13:40:43] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 173.05 → SELL on okx @ 173.09 | Profit: 0.02%
[2025-05-29 13:40:57] 🚀 [ARBITRAGE] BTC/USDT → BUY on kucoin @ 108761.40 → SELL on mexc @ 108776.21 | Profit: 0.01%
[2025-05-29 13:41:01] 🚀 [ARBITRAGE] ETH/USDT → BUY on binance @ 2720.10 → SELL on bitget @ 2721.01 | Profit: 0.03%
[2025-05-29 13:41:04] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 172.97 → SELL on okx @ 173.03 | Profit: 0.03%
[2025-05-29 13:41:17] 🚀 [ARBITRAGE] BTC/USDT → BUY on kucoin @ 108761.40 → SELL on okx @ 108774.20 | Profit: 0.01%
[2025-05-29 13:41:21] 🚀 [ARBITRAGE] ETH/USDT → BUY on okx @ 2718.83 → SELL on bitget @ 2720.02 | Profit: 0.04%
[2025-05-29 13:41:25] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 172.88 → SELL on okx @ 172.91 | Profit: 0.02%
[2025-05-29 13:41:41] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108738.01 → SELL on binance @ 108762.13 | Profit: 0.02%
[2025-05-29 13:41:45] 🚀 [ARBITRAGE] ETH/USDT → BUY on okx @ 2715.60 → SELL on binance @ 2718.02 | Profit: 0.09%
